planned_start_s,planned_end_s,marker_start_s,marker_end_s,marker_id,target_x,target_y,coordinate_space,timing_source,onset_delay_ms,duration_error_ms,presentation_status
0.0,2.34,0.0,2.34,top_right_r1,0.85,0.15,normalised,synthetic_schedule,0.0,0.0,simulated
3.0,5.34,3.0,5.34,inner_bottom_right_r1,0.66,0.66,normalised,synthetic_schedule,0.0,0.0,simulated
6.0,8.34,6.0,8.34,inner_bottom_left_r1,0.33,0.66,normalised,synthetic_schedule,0.0,0.0,simulated
9.0,11.34,9.0,11.34,centre_r1,0.5,0.5,normalised,synthetic_schedule,0.0,0.0,simulated
12.0,14.34,12.0,14.34,inner_top_left_r1,0.33,0.33,normalised,synthetic_schedule,0.0,0.0,simulated
15.0,17.34,15.0,17.34,inner_top_left_r1,0.33,0.33,normalised,synthetic_schedule,0.0,0.0,simulated
18.0,20.34,18.0,20.34,top_left_r1,0.15,0.15,normalised,synthetic_schedule,0.0,0.0,simulated
21.0,23.34,21.0,23.34,bottom_right_r1,0.85,0.85,normalised,synthetic_schedule,0.0,0.0,simulated
24.0,26.34,24.0,26.34,inner_top_right_r1,0.66,0.33,normalised,synthetic_schedule,0.0,0.0,simulated
27.0,29.34,27.0,29.34,bottom_right_r2,0.85,0.85,normalised,synthetic_schedule,0.0,0.0,simulated
30.0,32.34,30.0,32.34,centre_r2,0.5,0.5,normalised,synthetic_schedule,0.0,0.0,simulated
33.0,35.34,33.0,35.34,bottom_left_r2,0.15,0.85,normalised,synthetic_schedule,0.0,0.0,simulated
36.0,38.34,36.0,38.34,top_left_r2,0.15,0.15,normalised,synthetic_schedule,0.0,0.0,simulated
39.0,41.34,39.0,41.34,top_left_r2,0.15,0.15,normalised,synthetic_schedule,0.0,0.0,simulated
42.0,44.34,42.0,44.34,top_right_r2,0.85,0.15,normalised,synthetic_schedule,0.0,0.0,simulated
45.0,47.34,45.0,47.34,inner_top_left_r2,0.33,0.33,normalised,synthetic_schedule,0.0,0.0,simulated
48.0,50.34,48.0,50.34,inner_bottom_left_r2,0.33,0.66,normalised,synthetic_schedule,0.0,0.0,simulated
51.0,53.34,51.0,53.34,bottom_right_r2,0.85,0.85,normalised,synthetic_schedule,0.0,0.0,simulated
54.0,56.34,54.0,56.34,inner_bottom_right_r3,0.66,0.66,normalised,synthetic_schedule,0.0,0.0,simulated
57.0,59.34,57.0,59.34,bottom_left_r3,0.15,0.85,normalised,synthetic_schedule,0.0,0.0,simulated
60.0,62.34,60.0,62.34,inner_top_right_r3,0.66,0.33,normalised,synthetic_schedule,0.0,0.0,simulated
63.0,65.34,63.0,65.34,inner_bottom_right_r3,0.66,0.66,normalised,synthetic_schedule,0.0,0.0,simulated
66.0,68.34,66.0,68.34,centre_r3,0.5,0.5,normalised,synthetic_schedule,0.0,0.0,simulated
69.0,71.34,69.0,71.34,inner_bottom_left_r3,0.33,0.66,normalised,synthetic_schedule,0.0,0.0,simulated
72.0,74.34,72.0,74.34,inner_top_right_r3,0.66,0.33,normalised,synthetic_schedule,0.0,0.0,simulated
75.0,77.34,75.0,77.34,bottom_left_r3,0.15,0.85,normalised,synthetic_schedule,0.0,0.0,simulated
78.0,80.34,78.0,80.34,top_right_r3,0.85,0.15,normalised,synthetic_schedule,0.0,0.0,simulated
