delay_s,delay_ms,condition,balanced_accuracy_deg,balanced_repeat_spread_deg,participant_condition_target_cells,valid_marker_windows,valid_gaze_samples
0.0,0,ALL,2.9051742633229547,0.599655856665221,340,960,76954
0.01,10,ALL,2.9177211501416602,0.599655856665221,340,959,76546
0.02,20,ALL,2.898044582451429,0.5912273504505804,340,959,76124
0.03,30,ALL,2.8923918962704196,0.5936759498373448,340,959,75736
0.04,40,ALL,2.8741030570717445,0.5931575050869538,340,959,75330
0.05,50,ALL,2.8906472933493452,0.5911617252267432,340,959,74885
0.06,60,ALL,2.919504955265957,0.5926388338396245,340,958,74504
0.07,70,ALL,2.938602068809904,0.5925864747796091,340,958,74079
0.08,80,ALL,2.935009336395533,0.5831412520956416,340,958,73637
0.09,90,ALL,2.935009336395533,0.5827638134438933,340,957,73265
0.1,100,ALL,2.931433294807565,0.5776575622316222,340,955,72819
0.11,110,ALL,2.9318617520245343,0.568880132530122,339,954,72389
0.12,120,ALL,2.929476228239809,0.5759361809713065,339,954,72029
0.13,130,ALL,2.9467155432502388,0.5753133915881911,339,954,71579
0.14,140,ALL,2.9467155432502388,0.5664974148134763,339,953,71184
0.15,150,ALL,2.9629149406625825,0.5707325634095747,339,952,70767
0.16,160,ALL,3.0116471004794647,0.5703917382803825,339,951,70329
0.17,170,ALL,2.9947082434757384,0.5749763080799901,339,951,69956
0.18,180,ALL,2.993587425987795,0.568880132530122,339,951,69510
0.19,190,ALL,2.993587425987795,0.5686900341886721,339,951,69118
0.2,200,ALL,2.9885679027598235,0.5681325301204823,339,951,68678
0.0,0,Acc 10min,2.740337205964366,0.6391622400797916,111,314,25483
0.01,10,Acc 10min,2.757242233894066,0.6193600554900878,111,313,25340
0.02,20,Acc 10min,2.757242233894066,0.6025106250000007,111,313,25203
0.03,30,Acc 10min,2.757242233894066,0.6025106250000007,111,313,25077
0.04,40,Acc 10min,2.7794102204163407,0.6037127875136914,111,313,24920
0.05,50,Acc 10min,2.7794102204163407,0.5946564849893053,111,313,24783
0.06,60,Acc 10min,2.7881745597153054,0.5906211826899437,111,313,24650
