delay_s,delay_ms,subject_id,condition,target_id,marker_window_means,accuracy_median_target_error_deg,repeat_spread_median_radial_deg
0.0,0,AW75,Acc 10min,1,3,2.2632104230671053,0.9288360972834617
0.0,0,AW75,Acc 10min,2,3,2.2179337398879695,0.7667051171580374
0.0,0,AW75,Acc 10min,3,3,1.791115465667377,0.3046619521530425
0.0,0,AW75,Acc 10min,4,3,2.9677480430129974,2.30757896629905
0.0,0,AW75,Acc 10min,5,3,1.8504232900113546,0.9694719112275234
0.0,0,AW75,Acc 10min,6,3,2.7855953660075636,0.8720285983230013
0.0,0,AW75,Acc 10min,7,3,2.530763074703429,1.0915801724137921
0.0,0,AW75,Acc 10min,8,3,9.065909732106501,7.946405333333333
0.0,0,AW75,Acc 10min,9,3,2.819618312432611,3.747920587428714
0.0,0,AW75,Acc 60min,1,3,3.7983510981856017,2.85580098587667
0.0,0,AW75,Acc 60min,2,3,2.2825428435565276,1.1143312991487078
0.0,0,AW75,Acc 60min,3,3,2.3496519188676532,0.3456143908969196
0.0,0,AW75,Acc 60min,4,3,3.9475140041857633,1.3389529736842114
0.0,0,AW75,Acc 60min,5,3,4.038618347276916,3.851065665338185
0.0,0,AW75,Acc 60min,6,3,2.5504261222283313,1.4821753720702113
0.0,0,AW75,Acc 60min,7,3,2.82904070073211,0.6444845436375743
0.0,0,AW75,Acc 60min,8,3,3.4781451598852247,1.9827046781106716
0.0,0,AW75,Acc 60min,9,3,1.3173419367207355,1.970630672367519
0.0,0,AW75,Calib & Acc,1,3,1.7319181137377664,1.0867575157563039
0.0,0,AW75,Calib & Acc,2,3,0.9577045774647513,0.6166739346499148
0.0,0,AW75,Calib & Acc,3,3,1.4657117788247958,0.5467560748165126
0.0,0,AW75,Calib & Acc,4,3,1.3454705216776142,0.7766536380935118
0.0,0,AW75,Calib & Acc,5,3,6.959394890413926,1.5448512312788019
0.0,0,AW75,Calib & Acc,6,1,7.219383740980336,0.0
0.0,0,AW75,Calib & Acc,7,3,4.215720829062915,0.4327406674208145
0.0,0,AW75,Calib & Acc,9,3,3.3784318951203716,0.6131053826080733
0.0,0,CL98,Acc 10min,1,1,18.87268679256944,0.0
0.0,0,CL98,Acc 10min,5,1,8.259481073954728,0.0
0.0,0,CL98,Acc 10min,7,1,1.285493288392003,0.0
0.0,0,CL98,Acc 10min,8,1,23.848529982489488,0.0
0.0,0,CL98,Acc 60min,1,3,2.2199208751768644,1.1891025000000006
0.0,0,CL98,Acc 60min,2,3,2.0375700472601785,1.239653278062446
0.0,0,CL98,Acc 60min,3,2,3.6230473403914587,1.255716573368723
0.0,0,CL98,Acc 60min,4,3,6.218166394445884,1.5181378955015525
0.0,0,CL98,Acc 60min,5,3,12.887390706167682,0.3161672673556628
0.0,0,CL98,Acc 60min,6,3,10.267732610818026,0.5165586007702183
0.0,0,CL98,Acc 60min,7,2,19.740425807984636,1.2664847947680773
0.0,0,CL98,Acc 60min,8,3,7.34474116464558,5.754088763269159
0.0,0,CL98,Calib & Acc,1,3,5.264194281344321,3.5909376832370343
0.0,0,CL98,Calib & Acc,2,2,4.189823121119574,1.1787497249731678
0.0,0,CL98,Calib & Acc,3,2,0.8087487997896321,0.7894116224968064
0.0,0,CL98,Calib & Acc,4,1,2.816305729806708,0.0
0.0,0,CL98,Calib & Acc,5,2,3.812225230193365,1.0538555532732907
0.0,0,CL98,Calib & Acc,6,3,18.71028705384191,4.172014076086958
0.0,0,CL98,Calib & Acc,7,2,0.5272928301872427,0.4705197234058432
0.0,0,CL98,Calib & Acc,8,3,2.7107032224869663,0.6897177777777763
0.0,0,CL98,Calib & Acc,9,1,6.416713284061882,0.0
0.0,0,CL98test,Calib & Acc,1,3,3.1922004795507664,0.6050304395604407
0.0,0,CL98test,Calib & Acc,2,3,3.404700500282861,2.19293989502606
0.0,0,CL98test,Calib & Acc,3,3,3.4699975373912824,0.615734936968987
0.0,0,CL98test,Calib & Acc,4,3,4.020800739852783,1.7520038808244665
0.0,0,CL98test,Calib & Acc,5,3,1.021037353033209,0.6674309605707107
0.0,0,CL98test,Calib & Acc,6,3,2.1115550937925707,0.8650112584889635
0.0,0,CL98test,Calib & Acc,7,3,1.1527273397089906,0.6428630164822753
0.0,0,CL98test,Calib & Acc,8,3,2.363298103898549,0.12236157697121186
0.0,0,CL98test,Calib & Acc,9,3,0.8665891524912182,0.21538476345083524
0.0,0,JH71,Acc 10min,1,3,2.432405535623291,1.0071647286500482
0.0,0,JH71,Acc 10min,2,3,2.127188571056768,0.28719528600172595
0.0,0,JH71,Acc 10min,3,3,2.1833163300735006,0.3819692875700813
