condition,shorter_delay_s,longer_delay_s,common_participants,bootstrap_repetitions,accuracy_difference_longer_minus_shorter_median_deg,accuracy_difference_ci95_low_deg,accuracy_difference_ci95_high_deg,spread_difference_longer_minus_shorter_median_deg,spread_difference_ci95_low_deg,spread_difference_ci95_high_deg,longer_clearly_better,interpretation
ALL,0.05,0.1,14,3000,0.01638895069740043,-0.044711240263522356,0.09659139142159526,-0.008352441884021733,-0.0502357196529416,0.03680083829192616,False,no clear non-conflicting improvement; prefer shorter per client rule
ALL,0.1,0.15,14,3000,0.007046675945868053,-0.09942525916226945,0.08513248271742668,-0.00721569397040317,-0.04755695767448716,0.021950171262608564,False,no clear non-conflicting improvement; prefer shorter per client rule
ALL,0.05,0.15,14,3000,0.028693249230558493,-0.09234354652306243,0.14724133212326537,-0.017580154872852305,-0.058625967086216785,0.02048169261039907,False,no clear non-conflicting improvement; prefer shorter per client rule
Calib & Acc,0.05,0.1,14,3000,0.0,-0.06065424650865037,0.06160117309641988,0.011624040469156383,-0.0674545662576802,0.09952606535008579,False,no clear non-conflicting improvement; prefer shorter per client rule
Calib & Acc,0.1,0.15,14,3000,-0.007402548624160232,-0.07076404339920384,0.050564832778629665,-0.00554438750337416,-0.06917725133586726,0.04446520206484683,False,no clear non-conflicting improvement; prefer shorter per client rule
Calib & Acc,0.05,0.15,14,3000,-0.007484865997656964,-0.11347727637476279,0.07433540113198633,-0.0019199933848634276,-0.08644317629118498,0.10144840097414869,False,no clear non-conflicting improvement; prefer shorter per client rule
Acc 10min,0.05,0.1,13,3000,0.018199503704252162,-0.14391703914433274,0.16838131292051303,-0.026227317776103043,-0.0764304527222671,0.01382152470554054,False,no clear non-conflicting improvement; prefer shorter per client rule
Acc 10min,0.1,0.15,13,3000,0.025711951177440184,-0.09660472005296923,0.2525899577812125,-0.01641411002917814,-0.06824079432185297,0.02131384091036137,False,no clear non-conflicting improvement; prefer shorter per client rule
Acc 10min,0.05,0.15,13,3000,0.06047501349321904,-0.13326551911618312,0.27383663608957276,-0.03968853391942595,-0.1261399466262647,0.005202255305126272,False,no clear non-conflicting improvement; prefer shorter per client rule
Acc 60min,0.05,0.1,12,3000,-0.010278164432047987,-0.35691656266133887,0.25658707645551493,-0.0008612753170277321,-0.11521060617577773,0.08186471685793778,False,no clear non-conflicting improvement; prefer shorter per client rule
Acc 60min,0.1,0.15,12,3000,-0.017034900577290735,-0.22687769265474422,0.16299743403557002,0.0203279187416624,-0.04387239198469003,0.10412739199221495,False,no clear non-conflicting improvement; prefer shorter per client rule
Acc 60min,0.05,0.15,12,3000,-0.036862375710340345,-0.41080165582417116,0.19988669287318617,0.02204785599220893,-0.09766055768088677,0.09402315226856796,False,no clear non-conflicting improvement; prefer shorter per client rule
