session_id,date,run_id,session_path,subject_id,device_id,test_id,trial_number,test_condition,visit_label,recording_start_time,recording_end_time,planned_duration_s,operator_id,device_model,device_serial,device_software_version,nominal_sampling_hz,calibration_method,validation_method,gaze_file,source_format,calibration_avg_error,calibration_valid_points,calibration_high_quality_samples,calibration_confidence_threshold,calibration_error_unit,calibration_status,calibration_source,display_width_px,display_height_px,display_width_mm,display_height_mm,viewing_distance_mm,display_model,display_refresh_hz,environment,ambient_illuminance_lux,head_support,target_presentation_s,target_settle_time_s_x,minimum_post_settle_valid_samples,notes,metadata_conflict_fields_x,metadata_read_error_x,has_gaze,has_video,has_recording_info,has_marker,has_calibration,has_log,target_recovery_attempted,target_recovery_status,target_recovery_validation_passed,source_video_file,source_video_bytes,marker_interval_count,detected_target_intervals,recovered_target_intervals,recovered_unique_targets,expected_target_intervals,median_normalised_match_offset,max_normalised_match_offset,target_count_signature,quality_status,quality_valid_rate,quality_data_loss_rate,quality_estimated_missing_samples,quality_longest_gap_s,duplicate_timestamps,negative_time_jumps,irregular_interval_pct,missing_coordinate_samples,out_of_bounds_samples,out_of_bounds_rate,quality_marker_events,quality_marker_coverage_rate,target_settle_time_s_y,marker_settle_excluded_samples_x,metadata_missing_fields,metadata_conflict_count,metadata_conflict_fields_y,metadata_read_error_y,duration_mismatch_fraction,quality_flags,gaze_samples,duration_s,effective_sampling_hz,median_interval_ms,p95_interval_ms,sampling_jitter_ms,sampling_interval_cv,estimated_missing_samples,longest_gap_s,valid_samples,invalid_samples,valid_rate,data_loss_rate,completeness_rate,gaze_dispersion_x,gaze_dispersion_y,coordinate_space,video_frames,video_duration_s,marker_events,marker_precision_rms,marker_stability_p95,marker_accuracy_rmse,marker_mean_absolute_error,marker_systematic_error_x,marker_systematic_error_y,marker_systematic_error_radial,marker_random_error_rms,marker_repeatability_95,marker_accuracy_rmse_deg,marker_omae_deg,marker_precision_rms_deg,marker_coverage_rate,marker_valid_samples,target_settle_time_s,marker_settle_excluded_samples_y
2025_04_11/000,2025_04_11,000,2025_04_11/000,CL98,GP3,Calib & Acc,1,,,1744348101.5029204,,,,,,,,,,GP3HD_data.csv,GP3HD,55.53,5.0,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True,True,recovered,True,ext_display_acc_video.avi,3491282,27,27,27,9,27,0.0023890372051467677,0.003777020458143973,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3,warn,0.4888250973959401,0.5118755118755118,7,0.03878474235534668,0,0,0.001435602953240361,0,1102,0.2259585810949354,27,0.9259259259259259,0.6,607.0,1,0,,,0.36061044002052733,low_valid_gaze_rate;high_data_loss;gaze_out_of_bounds;gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit,4877,78.8836944103241,61.812520780743775,16.50524139404297,18.725454807281494,1.8598472743434642,0.11268222196463698,7,0.03878474235534668,2384,2493,0.4888250973959401,0.5118755118755118,0.48812448812448817,0.5303607506915098,1.557862404418596,normalised,618,123.37344765663147,27,0.6349122512544987,0.8362579147346844,1.7956603783637761,1.2162131183488396,0.06671096750085434,-1.160753880594264,1.1626693100359806,1.4606768518638695,2.64268728452729,,,,0.9259259259259259,825.0,0.6,607.0
2025_04_11/001,2025_04_11,001,2025_04_11/001,CL98,GP3,Acc 10min,2,,,1744348430.1129403,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True,True,recovered,True,ext_display_acc_video.avi,2541104,27,27,27,9,27,0.0023890372051467677,0.003824811219699761,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3,warn,0.13216332378223497,0.8689630681818182,48,0.7890176773071289,0,0,0.00017911517105498835,0,271,0.048531518624641834,27,0.2962962962962963,0.6,127.0,1,0,,,0.0056521884877810185,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;low_marker_coverage;incomplete_metadata,5584,91.06066274642944,61.31077714146017,16.242265701293945,18.478083610534668,10.448721637343183,0.6433044397562577,48,0.7890176773071289,738,4846,0.13216332378223497,0.8689630681818182,0.13103693181818177,0.43291125446553125,3.1402467467383803,normalised,459,91.57828044891357,27,0.21965128393698302,0.4300174903735072,6.291477803732996,3.910202329675138,0.22679071177750507,-3.8780967718237127,3.884722460945962,1.7266740508207086,10.327440833001138,,,,0.2962962962962963,167.0,0.6,127.0
2025_04_11/003,2025_04_11,003,2025_04_11/003,LW03,GP3,Calib & Acc,4,,,1744348892.6908476,,,,,,,,,,GP3HD_data.csv,GP3HD,22.67,5.0,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True,True,recovered,True,ext_display_acc_video.avi,3857230,27,27,27,9,27,0.0025858732473555027,0.0036536008158934382,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3,warn,0.8397212543554007,0.1602787456445993,0,0.023419857025146484,0,0,0.0,0,122,0.02500512400081984,27,1.0,0.6,813.0,1,0,,,0.3795694748816559,gaze_out_of_bounds;gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit,4879,78.88939642906189,61.83340500502301,16.41261577606201,18.177151679992676,1.47024909564972,0.08958042494323758,0,0.023419857025146484,4097,782,0.8397212543554007,0.1602787456445993,0.8397212543554007,0.237589027121435,0.273253491351208,normalised,637,127.152667760849,27,0.020788600467307752,0.03555377113148636,0.06447623900183226,0.046418322882306524,-0.016103998219986364,-0.01194161724638282,0.020048465804854785,0.06814575351917743,0.08937997315092706,,,,1.0,1593.0,0.6,813.0
2025_04_11/004,2025_04_11,004,2025_04_11/004,LW03,GP3,Acc 10min,5,,,1744349477.7389948,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True,True,recovered,True,ext_display_acc_video.avi,2572098,27,27,27,9,27,0.0023890372051467677,0.003824811219699761,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3,warn,0.8362929139184847,0.17099748533109807,52,0.8650102615356445,0,0,0.00016914749661705008,0,219,0.037037037037037035,27,1.0,0.6,935.0,1,0,,,0.005265177681389094,long_sampling_gap;gaze_out_of_bounds;incomplete_metadata,5913,96.456787109375,61.29169524686968,16.295433044433594,18.173646926879883,11.124744824728305,0.6826909597550365,52,0.8650102615356445,4945,968,0.8362929139184847,0.17099748533109807,0.829002514668902,0.23693322049712787,0.3098489520597757,normalised,486,96.96733736991882,27,0.008126079684963306,0.014628302361615357,0.06730737649493373,0.05672884042171205,-0.012112476609515558,-0.014735902305159896,0.01907508601194968,0.017484956287763056,0.07234996428326076,,,,1.0,1646.0,0.6,935.0
2025_04_11/005,2025_04_11,005,2025_04_11/005,JL98,GP3,Calib & Acc,6,,,1744349690.0561163,,,,,,,,,,GP3HD_data.csv,GP3HD,139.77,5.0,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True,True,recovered,True,ext_display_acc_video.avi,3654056,27,27,27,9,27,0.0023890372051467677,0.003824811219699761,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3,warn,0.5683541709366674,0.4319950839819746,3,0.0280301570892334,0,0,0.0006150061500615006,0,168,0.03443328550932568,27,0.8888888888888888,0.6,675.0,1,0,,,0.3468835637200054,low_valid_gaze_rate;high_data_loss;gaze_out_of_bounds;gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit,4879,78.87448239326477,61.84509681697183,16.426444053649902,18.85069608688354,1.7788265024267285,0.10829041858462843,3,0.0280301570892334,2773,2106,0.5683541709366674,0.4319950839819746,0.5680049160180254,0.31927949043382287,0.30044975857887907,normalised,605,120.76634120941162,27,0.03599461877008611,0.06547750604898288,0.1547402901793504,0.11719500527703873,0.07339409711838758,0.02776616975814809,0.07847071858254903,0.1563633965145596,0.20230576846584186,,,,0.8888888888888888,1077.0,0.6,675.0
2025_04_11/006,2025_04_11,006,2025_04_11/006,JL98,GP3,Acc 10min,7,,,1744350669.117535,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True,True,recovered,True,ext_display_acc_video.avi,2601742,27,27,27,9,27,0.0023890372051467677,0.0036536008158934382,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3,warn,0.5624457182560362,0.4422049956933678,48,0.7601747512817383,0,0,0.0006949270326615705,0,418,0.07260726072607261,27,0.9629629629629629,0.6,744.0,1,0,,,0.005759693046634847,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata,5757,93.83097004890442,61.34435141190579,16.359567642211914,18.326938152313232,9.923623797120275,0.6065945026269985,48,0.7601747512817383,3238,2519,0.5624457182560362,0.4422049956933678,0.5577950043066322,0.3751805782664561,0.38170767133199335,normalised,473,94.37453842163086,27,0.03673523785767785,0.0640370469802442,0.32656799495589445,0.20685564295252237,0.132829678305458,0.1131799749228812,0.1745091119749209,0.09590764575754568,0.5051011429352136,,,,0.9629629629629629,1131.0,0.6,744.0
2025_04_11/007,2025_04_11,007,2025_04_11/007,,,,8,,,,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,True,True,True,recovered,True,ext_display_acc_video.avi,2563590,27,27,27,9,27,0.0023890372051467677,0.0034508650660073636,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3,warn,0.7085171360705802,0.2966144517433047,43,0.7192678451538086,0,0,0.00016969285593076533,0,1162,0.19714964370546317,27,1.0,0.6,763.0,5,0,,,0.0057822540858849854,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata,5894,96.01087141036987,61.37846593238516,16.30425453186035,18.137502670288086,9.26613966855792,0.5683264849951182,43,0.7192678451538086,4176,1718,0.7085171360705802,0.2966144517433047,0.7033855482566953,0.4069381425732718,0.648458633498705,normalised,484,96.56925940513611,27,0.04416472233446057,0.07807045978070137,0.9129048947677584,0.49833762385927655,0.16593977454843498,-0.09784089637764794,0.19263657436002923,0.396776103550498,1.5277405712493204,,,,1.0,1357.0,0.6,763.0
2025_04_11/008,2025_04_11,008,2025_04_11/008,LW03,GP3,Acc 60min,9,,,1744351082.461099,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True,True,recovered,True,ext_display_acc_video.avi,2448188,27,27,27,9,27,0.0023890372051467677,0.003824811219699761,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3,warn,0.7726300784034212,0.2333804809052334,44,0.7360022068023682,0,0,0.00017822135091783995,0,1014,0.18068424803991448,27,1.0,0.6,844.0,1,0,,,0.005677949188013437,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata,5612,91.4590015411377,61.34989345445901,16.251325607299805,18.324971199035645,9.713715343595549,0.5977183386955414,44,0.7360022068023682,4336,1276,0.7726300784034212,0.2333804809052334,0.7666195190947667,0.394572008757998,0.39762084781678475,normalised,461,91.98126649856567,27,0.02953761031773402,0.04183768984000323,0.33881602287924756,0.2628156325937293,0.14872089135643984,0.03495042919496869,0.15277249761251696,0.07018210411600631,0.42709504234548595,,,,1.0,1489.0,0.6,844.0
2025_04_11/009,2025_04_11,009,2025_04_11/009,PW78,GP3,Calib & Acc,10,,,1744351248.5541692,,,,,,,,,,GP3HD_data.csv,GP3HD,34.8,5.0,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True,True,recovered,True,ext_display_acc_video.avi,3385980,27,27,27,9,27,0.0023890372051467677,0.003777020458143973,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3,warn,0.8434105349456856,0.1565894650543144,0,0.023982763290405273,0,0,0.0,0,0,0.0,27,1.0,0.6,762.0,1,0,,,0.31263877571199067,gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit,4879,78.88400197029114,61.83763346384386,16.427040100097656,18.197333812713623,1.470668667993201,0.08952730735614739,0,0.023982763290405273,4115,764,0.8434105349456856,0.1565894650543144,0.8434105349456856,0.25916572810976624,0.24440847964003448,normalised,575,114.76353216171265,27,0.009271350174056983,0.016659448662197058,0.054594950079075,0.05117906836695146,0.003300648493698742,-0.04052863866754075,0.04066281879952539,0.019498928795051895,0.0379657683014578,,,,1.0,1552.0,0.6,762.0
2025_04_11/010,2025_04_11,010,2025_04_11/010,PW78,GP3,Acc 10min,11,,,1744352150.33839,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True,True,recovered,True,ext_display_acc_video.avi,2573580,27,27,27,9,27,0.0023890372051467677,0.003824811219699761,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3,warn,0.7805609454930322,0.22626333275048086,50,0.836043119430542,0,0,0.00017642907551164433,0,117,0.020638560592697124,27,1.0,0.6,738.0,1,0,,,0.00525918286617684,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata,5669,92.47707939147949,61.29086296081956,16.34812355041504,18.067550659179684,10.97475877939991,0.6713161143880203,50,0.836043119430542,4425,1244,0.7805609454930322,0.22626333275048086,0.7737366672495192,0.24440646537351604,0.25409638205643453,normalised,466,92.96600461006165,27,0.0173416669899336,0.030730374289612814,0.09281624087310437,0.08604250581788975,0.007854004676255797,-0.08033033984961481,0.08071337491276932,0.05051762588764745,0.06952171451839126,,,,1.0,1525.0,0.6,738.0
