session_id,quality_status,valid_rate,data_loss_rate,estimated_missing_samples,longest_gap_s,duplicate_timestamps,negative_time_jumps,irregular_interval_pct,missing_coordinate_samples,out_of_bounds_samples,out_of_bounds_rate,marker_events,marker_coverage_rate,target_settle_time_s,marker_settle_excluded_samples,metadata_missing_fields,metadata_conflict_count,metadata_conflict_fields,metadata_read_error,duration_mismatch_fraction,quality_flags
2025_04_11/000,warn,0.4888250973959401,0.5118755118755118,7,0.03878474235534668,0,0,0.001435602953240361,0,1102,0.2259585810949354,27,0.9259259259259259,0.6,607.0,1,0,,,0.36061044002052733,low_valid_gaze_rate;high_data_loss;gaze_out_of_bounds;gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_11/001,warn,0.13216332378223497,0.8689630681818182,48,0.7890176773071289,0,0,0.00017911517105498835,0,271,0.048531518624641834,27,0.2962962962962963,0.6,127.0,1,0,,,0.0056521884877810185,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;low_marker_coverage;incomplete_metadata
2025_04_11/003,warn,0.8397212543554007,0.1602787456445993,0,0.023419857025146484,0,0,0.0,0,122,0.02500512400081984,27,1.0,0.6,813.0,1,0,,,0.3795694748816559,gaze_out_of_bounds;gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_11/004,warn,0.8362929139184847,0.17099748533109807,52,0.8650102615356445,0,0,0.00016914749661705008,0,219,0.037037037037037035,27,1.0,0.6,935.0,1,0,,,0.005265177681389094,long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_11/005,warn,0.5683541709366674,0.4319950839819746,3,0.0280301570892334,0,0,0.0006150061500615006,0,168,0.03443328550932568,27,0.8888888888888888,0.6,675.0,1,0,,,0.3468835637200054,low_valid_gaze_rate;high_data_loss;gaze_out_of_bounds;gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_11/006,warn,0.5624457182560362,0.4422049956933678,48,0.7601747512817383,0,0,0.0006949270326615705,0,418,0.07260726072607261,27,0.9629629629629629,0.6,744.0,1,0,,,0.005759693046634847,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_11/007,warn,0.7085171360705802,0.2966144517433047,43,0.7192678451538086,0,0,0.00016969285593076533,0,1162,0.19714964370546317,27,1.0,0.6,763.0,5,0,,,0.0057822540858849854,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_11/008,warn,0.7726300784034212,0.2333804809052334,44,0.7360022068023682,0,0,0.00017822135091783995,0,1014,0.18068424803991448,27,1.0,0.6,844.0,1,0,,,0.005677949188013437,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_11/009,warn,0.8434105349456856,0.1565894650543144,0,0.023982763290405273,0,0,0.0,0,0,0.0,27,1.0,0.6,762.0,1,0,,,0.31263877571199067,gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_11/010,warn,0.7805609454930322,0.22626333275048086,50,0.836043119430542,0,0,0.00017642907551164433,0,117,0.020638560592697124,27,1.0,0.6,738.0,1,0,,,0.00525918286617684,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
