session_id,date,subject_id,device_id,test_id,quality_status,coordinate_space,effective_sampling_hz,valid_gaze_samples_pct,data_loss_pct,marker_precision_relative_coordinate_pct,marker_accuracy_relative_coordinate_pct,target_recovery_status,recovered_target_intervals,target_settle_time_s,quality_flags
2025_04_11/000,2025_04_11,CL98,GP3,Calib & Acc,warn,normalised,61.812520780743775,48.88250973959401,51.187551187551186,63.491225125449866,179.5660378363776,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;gaze_out_of_bounds;gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_11/001,2025_04_11,CL98,GP3,Acc 10min,warn,normalised,61.31077714146017,13.216332378223496,86.89630681818183,21.9651283936983,629.1477803732996,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;low_marker_coverage;incomplete_metadata
2025_04_11/003,2025_04_11,LW03,GP3,Calib & Acc,warn,normalised,61.83340500502301,83.97212543554006,16.02787456445993,2.0788600467307754,6.447623900183226,recovered,27,0.6,gaze_out_of_bounds;gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_11/004,2025_04_11,LW03,GP3,Acc 10min,warn,normalised,61.29169524686968,83.62929139184847,17.099748533109807,0.8126079684963307,6.730737649493373,recovered,27,0.6,long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_11/005,2025_04_11,JL98,GP3,Calib & Acc,warn,normalised,61.84509681697183,56.83541709366674,43.19950839819746,3.5994618770086113,15.47402901793504,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;gaze_out_of_bounds;gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_11/006,2025_04_11,JL98,GP3,Acc 10min,warn,normalised,61.34435141190579,56.244571825603614,44.22049956933678,3.673523785767785,32.656799495589446,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_11/007,2025_04_11,,,,warn,normalised,61.37846593238516,70.85171360705802,29.66144517433047,4.416472233446057,91.29048947677583,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_11/008,2025_04_11,LW03,GP3,Acc 60min,warn,normalised,61.34989345445901,77.26300784034213,23.33804809052334,2.9537610317734018,33.88160228792476,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_11/009,2025_04_11,PW78,GP3,Calib & Acc,warn,normalised,61.83763346384386,84.34105349456857,15.65894650543144,0.9271350174056984,5.4594950079075,recovered,27,0.6,gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_11/010,2025_04_11,PW78,GP3,Acc 10min,warn,normalised,61.29086296081956,78.05609454930322,22.626333275048086,1.73416669899336,9.281624087310437,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_11/011,2025_04_11,JL98,GP3,Acc 60min,warn,normalised,61.45186431131992,32.50363372093023,67.70175121863153,3.684079766572775,40.701483905791,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;long_sampling_gap;low_marker_coverage;incomplete_metadata
2025_04_11/012,2025_04_11,PW78,GP3,Acc 60min,warn,normalised,61.257058446488045,77.38095238095238,23.35703138546905,1.3507792983510085,6.9506909250426325,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;long_sampling_gap;incomplete_metadata
2025_04_12/001,2025_04_12,CL98test,GP3,Calib & Acc,warn,normalised,61.841314266084325,81.6447908121411,18.455551003687013,1.7324671626325272,7.694536670040988,recovered,27,0.6,gaze_out_of_bounds;gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_12/002,2025_04_12,MQ85,GP3,Calib & Acc,warn,normalised,61.83296887515453,76.09275600246255,23.92285597045548,2.2175746416284206,12.237578406450908,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
