session_id,date,run_id,session_path,subject_id,device_id,test_id,trial_number,test_condition,visit_label,recording_start_time,recording_end_time,planned_duration_s,operator_id,device_model,device_serial,device_software_version,nominal_sampling_hz,calibration_method,validation_method,gaze_file,source_format,calibration_avg_error,calibration_valid_points,calibration_high_quality_samples,calibration_confidence_threshold,calibration_error_unit,calibration_status,calibration_source,display_width_px,display_height_px,display_width_mm,display_height_mm,viewing_distance_mm,display_model,display_refresh_hz,environment,ambient_illuminance_lux,head_support,target_presentation_s,target_settle_time_s,minimum_post_settle_valid_samples,notes,metadata_conflict_fields,metadata_read_error,has_gaze,has_video,has_recording_info,has_marker,has_calibration,has_log
2025_04_11/000,2025_04_11,000,2025_04_11/000,CL98,GP3,Calib & Acc,1,,,1744348101.5029204,,,,,,,,,,GP3HD_data.csv,GP3HD,55.53,5.0,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_11/001,2025_04_11,001,2025_04_11/001,CL98,GP3,Acc 10min,2,,,1744348430.1129403,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_11/003,2025_04_11,003,2025_04_11/003,LW03,GP3,Calib & Acc,4,,,1744348892.6908476,,,,,,,,,,GP3HD_data.csv,GP3HD,22.67,5.0,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_11/004,2025_04_11,004,2025_04_11/004,LW03,GP3,Acc 10min,5,,,1744349477.7389948,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_11/005,2025_04_11,005,2025_04_11/005,JL98,GP3,Calib & Acc,6,,,1744349690.0561163,,,,,,,,,,GP3HD_data.csv,GP3HD,139.77,5.0,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_11/006,2025_04_11,006,2025_04_11/006,JL98,GP3,Acc 10min,7,,,1744350669.117535,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_11/007,2025_04_11,007,2025_04_11/007,,,,8,,,,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,True,True
2025_04_11/008,2025_04_11,008,2025_04_11/008,LW03,GP3,Acc 60min,9,,,1744351082.461099,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_11/009,2025_04_11,009,2025_04_11/009,PW78,GP3,Calib & Acc,10,,,1744351248.5541692,,,,,,,,,,GP3HD_data.csv,GP3HD,34.8,5.0,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_11/010,2025_04_11,010,2025_04_11/010,PW78,GP3,Acc 10min,11,,,1744352150.33839,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_11/011,2025_04_11,011,2025_04_11/011,JL98,GP3,Acc 60min,12,,,1744353417.2034142,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
