session_id,marker_index,marker_start_s,marker_end_s,marker_midpoint_s,frame_id,frame_time_s,frame_time_error_ms,detection_status,candidate_target_count,detected_x_px,detected_y_px,detected_radius_px,detected_x_normalised,detected_y_normalised,matched_target_id,target_x,target_y,normalised_match_offset,detection_confidence
2025_04_11/001,0,12.410744190216064,14.010864973068237,13.21080458164215,63,13.210398197174072,0.4063844680786133,recovered,1,1262.5,711.5,15.5,0.6575520833333334,0.6587962962962963,inner_bottom_right,0.66,0.66,0.002727856047018324,0.8181429301987784
2025_04_11/001,1,15.21004033088684,17.018210887908936,16.114125609397888,77,16.012885570526123,101.24003887176514,recovered,1,1627.5,161.5,21.600000381469727,0.84765625,0.14953703703703702,top_right,0.85,0.15,0.0023890372051467404,0.8407308529902173
2025_04_11/001,2,18.21915912628174,20.010648012161255,19.114903569221497,92,19.0194308757782,95.47269344329834,recovered,1,283.5,161.5,19.600000381469727,0.14765625,0.14953703703703702,top_left,0.15,0.15,0.0023890372051467677,0.8407308529902154
2025_04_11/001,3,21.212818145751953,23.017942667007446,22.1153804063797,107,22.012445211410522,102.93519496917725,recovered,1,955.5,539.5,19.600000381469727,0.49765625,0.49953703703703706,centre,0.5,0.5,0.002389037205146735,0.8407308529902177
2025_04_11/001,4,24.21896505355835,25.81905508041382,25.019010066986084,122,25.020026683807373,1.0166168212890625,recovered,1,1627.5,917.5,13.600000381469727,0.84765625,0.8495370370370371,bottom_right,0.85,0.85,0.0023890372051467244,0.8407308529902184
2025_04_11/001,5,27.02193331718445,28.620251178741455,27.82109224796295,136,27.819221258163452,1.8709897994995117,recovered,1,628.5,355.5,13.600000381469727,0.32734375,0.32916666666666666,inner_top_left,0.33,0.33,0.0027839016697693577,0.8144065553487094
2025_04_11/001,6,29.819787979125977,31.418537378311157,30.619162678718567,150,30.620525360107422,1.3626813888549805,recovered,1,1262.5,355.5,11.600000381469727,0.6575520833333334,0.32916666666666666,inner_top_right,0.66,0.33,0.0025858732473555027,0.8276084501762998
2025_04_11/001,7,32.41041684150696,34.20442605018616,33.30742144584656,163,33.213383197784424,94.03824806213379,recovered,1,628.5,711.5,21.600000381469727,0.32734375,0.6587962962962963,inner_bottom_left,0.33,0.66,0.002916259019499153,0.8055827320333898
2025_04_11/001,8,35.40277576446533,37.21213960647583,36.30745768547058,179,36.41185283660889,104.39515113830566,recovered,1,283.5,917.5,13.600000381469727,0.14765625,0.8495370370370371,bottom_left,0.15,0.85,0.0023890372051467517,0.8407308529902165
2025_04_11/001,9,38.20335507392883,40.01195573806763,39.10765540599823,193,39.21214461326599,104.48920726776123,recovered,1,1262.5,711.5,17.600000381469727,0.6575520833333334,0.6587962962962963,inner_bottom_right,0.66,0.66,0.002727856047018324,0.8181429301987784
