session_id,target_recovery_attempted,target_recovery_status,target_recovery_validation_passed,source_video_file,source_video_bytes,marker_interval_count,detected_target_intervals,recovered_target_intervals,recovered_unique_targets,expected_target_intervals,median_normalised_match_offset,max_normalised_match_offset,target_count_signature
2025_04_11/000,True,recovered,True,ext_display_acc_video.avi,3491282,27,27,27,9,27,0.0023890372051467677,0.003777020458143973,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_11/001,True,recovered,True,ext_display_acc_video.avi,2541104,27,27,27,9,27,0.0023890372051467677,0.003824811219699761,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_11/003,True,recovered,True,ext_display_acc_video.avi,3857230,27,27,27,9,27,0.0025858732473555027,0.0036536008158934382,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_11/004,True,recovered,True,ext_display_acc_video.avi,2572098,27,27,27,9,27,0.0023890372051467677,0.003824811219699761,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_11/005,True,recovered,True,ext_display_acc_video.avi,3654056,27,27,27,9,27,0.0023890372051467677,0.003824811219699761,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_11/006,True,recovered,True,ext_display_acc_video.avi,2601742,27,27,27,9,27,0.0023890372051467677,0.0036536008158934382,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_11/007,True,recovered,True,ext_display_acc_video.avi,2563590,27,27,27,9,27,0.0023890372051467677,0.0034508650660073636,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_11/008,True,recovered,True,ext_display_acc_video.avi,2448188,27,27,27,9,27,0.0023890372051467677,0.003824811219699761,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_11/009,True,recovered,True,ext_display_acc_video.avi,3385980,27,27,27,9,27,0.0023890372051467677,0.003777020458143973,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_11/010,True,recovered,True,ext_display_acc_video.avi,2573580,27,27,27,9,27,0.0023890372051467677,0.003824811219699761,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
