visit_label,date,subject_id,session_id,target_label,coordinate_space,paper_qc_status,paper_plot_status,target_settle_time_s,settle_excluded_valid_samples,paper_qc_valid_samples,paper_qc_excluded_samples,target_x_pct_display_width,target_y_pct_display_height,target_eccentricity_relative_coordinate_pct,paper_qc_error_x_pct_display_width,paper_qc_error_y_pct_display_height,paper_qc_omae_relative_coordinate_pct,paper_qc_precision_rms_relative_coordinate_pct,target_x_deg,target_y_deg,target_eccentricity_deg,paper_qc_error_x_deg,paper_qc_error_y_deg,paper_qc_omae_deg,paper_qc_precision_rms_deg,interval_count
Visit 1,2026_01_01,SYNTHETIC_P01,2026_01_01/000,top_left,normalised,included,included,0.6,107,312,0,15.0,15.0,49.49747468305832,0.17838530514820983,0.09602621785838039,0.5494742607335578,0.5825707927216284,-17.179865595874652,9.926245506651705,19.55804506682334,0.08244374251066944,0.026689795860262322,0.22271277604856893,0.23784224743210886,3
Visit 1,2026_01_01,SYNTHETIC_P01,2026_01_01/000,top_right,normalised,included,included,0.6,106,312,0,85.0,15.0,49.49747468305832,0.21424986676997215,0.09426960332296619,0.5356149772721757,0.5515762594130909,17.179865595874652,9.926245506651705,19.55804506682334,0.09892122161674166,0.026201468502780045,0.22251990876760602,0.22970228098399334,3
Visit 1,2026_01_01,SYNTHETIC_P01,2026_01_01/000,inner_top_left,normalised,included,included,0.6,106,312,0,33.0,33.0,24.041630560342615,0.18693564105405347,0.08484461237722452,0.5615819757137444,0.5861476611354116,-8.540104546894366,4.858462919034286,9.790231559838404,0.09254680735432785,0.024130878607036443,0.23018265548791617,0.23918109518106512,3
Visit 1,2026_01_01,SYNTHETIC_P01,2026_01_01/000,inner_top_right,normalised,included,included,0.6,107,311,0,66.0,33.0,23.345235059857504,0.19074602459373535,0.11692667632630105,0.5347957514919589,0.549493513925918,8.044522463335591,4.858462919034286,9.365177315044619,0.09462606097834403,0.033254889382293484,0.21934687797143756,0.22779809598122694,3
Visit 1,2026_01_01,SYNTHETIC_P01,2026_01_01/000,centre,normalised,included,included,0.6,107,312,0,50.0,50.0,0.0,0.18130415345873158,0.10819154682295366,0.5085312676401842,0.530822429675063,0.0,0.0,0.0,0.09176025892794101,0.03099458981154263,0.20795057400334307,0.21874429277955607,3
Visit 1,2026_01_01,SYNTHETIC_P01,2026_01_01/000,inner_bottom_left,normalised,included,included,0.6,107,312,0,33.0,66.0,23.345235059857504,0.19815438772309846,0.12801602833501236,0.5374372682084984,0.5506899358834648,-8.540104546894366,-4.573921259900862,9.656235306212883,0.09810200763336852,0.03644253381912499,0.22447893709280423,0.23140835888362313,3
Visit 1,2026_01_01,SYNTHETIC_P01,2026_01_01/000,inner_bottom_right,normalised,included,included,0.6,107,312,0,66.0,66.0,22.627416997969526,0.23607666135225525,0.09488630955396815,0.5563040742366082,0.5763687709459459,8.044522463335591,-4.573921259900862,9.224536194561267,0.1171070586732359,0.027011113810139875,0.23373937138993717,0.243669162204023,3
Visit 1,2026_01_01,SYNTHETIC_P01,2026_01_01/000,bottom_left,normalised,included,included,0.6,107,312,0,15.0,85.0,49.49747468305832,0.2396375123576322,0.12236391288443782,0.5645761708459629,0.5703191214695801,-17.179865595874652,-9.926245506651705,19.55804506682334,0.11076889858638239,0.03401659815094149,0.23015670915404718,0.2290859159467183,3
Visit 1,2026_01_01,SYNTHETIC_P01,2026_01_01/000,bottom_right,normalised,included,included,0.6,108,312,0,85.0,85.0,49.49747468305832,0.16816100509784992,0.07801153130634342,0.541206991161545,0.5774810517723178,17.179865595874652,-9.926245506651705,19.55804506682334,0.07765004949726162,0.021686158666447852,0.2199283165464213,0.23796682905093064,3
Visit 2,2026_01_08,SYNTHETIC_P01,2026_01_08/000,top_left,normalised,included,included,0.6,107,312,0,15.0,15.0,49.49747468305832,0.3393892961530254,0.21035365678719886,0.6509234974409155,0.6024178245533471,-17.179865595874652,9.926245506651705,19.55804506682334,0.15691587163779275,0.05846049919381002,0.2691103923703779,0.24555655063733095,3
