marker_start_s,marker_end_s,marker_id,target_x,target_y,coordinate_space,target_duration_s,target_source,target_detection_confidence,target_detected_x,target_detected_y,target_frame_id,target_frame_time_s
0.0,2.34,top_right_r1,0.85,0.15,normalised,2.34,marker_file,,,,,
3.0,5.34,inner_bottom_right_r1,0.66,0.66,normalised,2.34,marker_file,,,,,
6.0,8.34,inner_bottom_left_r1,0.33,0.66,normalised,2.34,marker_file,,,,,
9.0,11.34,centre_r1,0.5,0.5,normalised,2.34,marker_file,,,,,
12.0,14.34,inner_top_left_r1,0.33,0.33,normalised,2.34,marker_file,,,,,
15.0,17.34,inner_top_left_r1,0.33,0.33,normalised,2.34,marker_file,,,,,
18.0,20.34,top_left_r1,0.15,0.15,normalised,2.34,marker_file,,,,,
21.0,23.34,bottom_right_r1,0.85,0.85,normalised,2.34,marker_file,,,,,
24.0,26.34,inner_top_right_r1,0.66,0.33,normalised,2.34,marker_file,,,,,
27.0,29.34,bottom_right_r2,0.85,0.85,normalised,2.34,marker_file,,,,,
30.0,32.34,centre_r2,0.5,0.5,normalised,2.3400000000000034,marker_file,,,,,
33.0,35.34,bottom_left_r2,0.15,0.85,normalised,2.3400000000000034,marker_file,,,,,
36.0,38.34,top_left_r2,0.15,0.15,normalised,2.3400000000000034,marker_file,,,,,
39.0,41.34,top_left_r2,0.15,0.15,normalised,2.3400000000000034,marker_file,,,,,
42.0,44.34,top_right_r2,0.85,0.15,normalised,2.3400000000000034,marker_file,,,,,
45.0,47.34,inner_top_left_r2,0.33,0.33,normalised,2.3400000000000034,marker_file,,,,,
48.0,50.34,inner_bottom_left_r2,0.33,0.66,normalised,2.3400000000000034,marker_file,,,,,
51.0,53.34,bottom_right_r2,0.85,0.85,normalised,2.3400000000000034,marker_file,,,,,
54.0,56.34,inner_bottom_right_r3,0.66,0.66,normalised,2.3400000000000034,marker_file,,,,,
57.0,59.34,bottom_left_r3,0.15,0.85,normalised,2.3400000000000034,marker_file,,,,,
60.0,62.34,inner_top_right_r3,0.66,0.33,normalised,2.3400000000000034,marker_file,,,,,
63.0,65.34,inner_bottom_right_r3,0.66,0.66,normalised,2.3400000000000034,marker_file,,,,,
66.0,68.34,centre_r3,0.5,0.5,normalised,2.3400000000000034,marker_file,,,,,
69.0,71.34,inner_bottom_left_r3,0.33,0.66,normalised,2.3400000000000034,marker_file,,,,,
72.0,74.34,inner_top_right_r3,0.66,0.33,normalised,2.3400000000000034,marker_file,,,,,
75.0,77.34,bottom_left_r3,0.15,0.85,normalised,2.3400000000000034,marker_file,,,,,
78.0,80.34,top_right_r3,0.85,0.15,normalised,2.3400000000000034,marker_file,,,,,
